Date,Open,High,Low,Close,Adj Close,Volume
2022-06-16,61300.000000,61800.000000,60500.000000,60900.000000,60116.816406,23394895
2022-06-17,59400.000000,59900.000000,59400.000000,59800.000000,59030.960938,29053450
2022-06-20,59800.000000,59900.000000,58100.000000,58700.000000,57945.109375,34111306
2022-06-21,58700.000000,59200.000000,58200.000000,58500.000000,57747.679688,25148109
2022-06-22,59000.000000,59100.000000,57600.000000,57600.000000,56859.253906,23334687
2022-06-23,57700.000000,58000.000000,56800.000000,57400.000000,56661.824219,28338608
2022-06-24,57900.000000,59100.000000,57700.000000,58400.000000,57648.964844,23256103
2022-06-27,59000.000000,59900.000000,58300.000000,58800.000000,58043.820313,18122236
2022-06-28,59200.000000,59500.000000,58700.000000,59400.000000,58636.105469,13540538
2022-06-29,58500.000000,58800.000000,58000.000000,58000.000000,57604.195313,14677138
2022-06-30,57200.000000,57600.000000,57000.000000,57000.000000,56611.019531,18915142
2022-07-01,56900.000000,57500.000000,55900.000000,56200.000000,55816.480469,24982097
2022-07-04,56100.000000,57400.000000,55700.000000,57100.000000,56710.339844,17807126
2022-07-05,57600.000000,58200.000000,57200.000000,57200.000000,56809.656250,14216539
2022-07-06,57300.000000,57300.000000,56400.000000,56400.000000,56015.117188,16820461
2022-07-07,56400.000000,58700.000000,56300.000000,58200.000000,57802.832031,21322833
2022-07-08,58600.000000,59300.000000,58200.000000,58700.000000,58299.417969,15339271
2022-07-11,59300.000000,59600.000000,58700.000000,58800.000000,58398.738281,13042624
2022-07-12,58600.000000,58700.000000,58100.000000,58100.000000,57703.515625,9336061
2022-07-13,58300.000000,58600.000000,58000.000000,58000.000000,57604.195313,10841315
2022-07-14,57500.000000,58200.000000,57400.000000,57500.000000,57107.609375,15067012
2022-07-15,58400.000000,60000.000000,58100.000000,60000.000000,59590.546875,18685583
2022-07-18,60600.000000,62000.000000,60500.000000,61900.000000,61477.582031,20832517
2022-07-19,61400.000000,61500.000000,60200.000000,60900.000000,60484.406250,15248261
2022-07-20,61800.000000,62100.000000,60500.000000,60500.000000,60087.136719,16782238
2022-07-21,61100.000000,61900.000000,60700.000000,61800.000000,61378.265625,12291374
2022-07-22,61800.000000,62200.000000,61200.000000,61300.000000,60881.675781,10261310
2022-07-25,60900.000000,61900.000000,60800.000000,61100.000000,60683.042969,9193681
2022-07-26,60800.000000,61900.000000,60800.000000,61700.000000,61278.945313,6597211
2022-07-27,61300.000000,61900.000000,61200.000000,61800.000000,61378.265625,7320997
2022-07-28,62300.000000,62600.000000,61600.000000,61900.000000,61477.582031,10745302
2022-07-29,62400.000000,62600.000000,61300.000000,61400.000000,60980.996094,15093120
2022-08-01,61000.000000,61700.000000,60300.000000,61300.000000,60881.675781,13154816
2022-08-02,61200.000000,61900.000000,61000.000000,61700.000000,61278.945313,13614895
2022-08-03,61600.000000,61600.000000,61000.000000,61300.000000,60881.675781,10053861
2022-08-04,61700.000000,61800.000000,61200.000000,61500.000000,61080.312500,9125439
2022-08-05,61700.000000,61900.000000,61200.000000,61500.000000,61080.312500,9567620
2022-08-08,61400.000000,61400.000000,60600.000000,60800.000000,60385.089844,11313150
