Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2018-09-04,47550,47800,47200,47650,41957.67188,6791255,42133.77604,41913.64297
2018-09-05,47300,47450,46400,46600,41033.10156,9139998,41590.77865,41878.42031
2018-09-06,46200,46400,45800,46100,40592.83594,9040553,41194.53646,41605.45313
2018-09-07,44500,45200,44400,44900,39536.17969,18285508,40387.3724,40980.27031
2018-09-10,45450,45550,45000,45500,40064.51172,9979838,40064.50912,40636.86016
2018-09-11,45550,45900,45050,45050,39668.26953,9865790,39756.32031,40178.97969
2018-09-12,44900,45100,44500,44550,39227.98828,12995269,39653.58984,39817.95703
2018-09-13,44550,44750,44000,44050,38787.72656,18277942,39227.99479,39456.93516
2018-09-14,45000,45850,44900,45850,40372.69141,12446344,39462.80208,39624.2375
2018-09-17,45550,45800,44900,45150,39756.31641,8123384,39638.91146,39562.59844
2018-09-18,44950,45900,44700,45500,40064.51172,9987090,40064.50651,39641.84688
2018-09-19,46000,46200,45700,46150,40636.85547,9367454,40152.5612,39923.62031
2018-09-20,46850,47600,46400,47250,41605.44922,13536966,40768.9388,40487.16484
2018-09-21,46550,47550,46550,47400,41737.53125,14476906,41326.61198,40760.13281
2018-09-27,46950,47500,46450,47500,42140.30469,15804586,41827.76172,41236.93047
2018-09-28,47250,47250,46300,46450,41208.78125,11270515,41695.53906,41465.78438
2018-10-01,46450,46800,45800,46350,41120.05859,6354983,41489.71484,41562.425
2018-10-02,46450,46700,45700,45700,40543.40625,6607188,40957.41536,41350.01641
2018-10-04,45150,45600,44700,44700,39656.24219,11865327,40439.90234,40933.75859
2018-10-05,44800,45500,44550,44700,39656.24219,10544165,39951.96354,40436.94609
2018-10-08,44200,45200,44200,44950,39878.03125,6759464,39730.17188,40170.79609
2018-10-10,45250,45500,44500,45300,40188.54297,10341349,39907.60547,39984.49297
2018-10-11,44000,44650,43100,43100,38236.77734,19324537,39434.45052,39523.16719
2018-10-12,43200,44650,43200,44000,39035.22656,12640906,39153.51563,39398.96406
2018-10-15,44050,44050,43350,43800,38857.79297,7434522,38709.93229,39239.27422
2018-10-16,43700,44150,43350,43600,38680.36719,6825677,38857.79557,38999.74141
2018-10-17,44150,44500,44000,44150,39168.30469,8306193,38902.15495,38795.69375
2018-10-18,43950,44450,43700,44050,39079.58594,8347725,38976.08594,38964.25547
2018-10-19,43900,44150,43450,43900,38946.51563,7842520,39064.80208,38946.51328
2018-10-22,43450,43950,43200,43550,38636.00391,8357648,38887.36849,38902.15547
2018-10-23,43300,43450,42550,43050,38192.42188,9531231,38591.64714,38804.56641
2018-10-24,43050,43100,42250,42550,37748.83984,13522825,38192.42188,38520.67344
2018-10-25,40600,41550,40550,41000,36373.73047,19338170,37438.33073,37979.50234
2018-10-26,41100,41300,40400,41000,36373.73047,14413864,36832.10026,37464.94531
2018-10-29,40850,41950,40550,41400,36728.60156,14460521,36492.02083,37083.46484
2018-10-30,41400,43000,41000,42350,37571.40625,14205190,36891.24609,36959.26172
2018-10-31,42900,43350,41700,42400,37615.76563,17621480,37305.25781,36932.64688
2018-11-01,42450,42950,42150,42150,37393.97266,13423132,37527.04818,37136.69531
2018-11-02,43050,44250,42800,44150,39168.30469,16517112,38059.34766,37695.61016
